QE,QK,AE,AK,Keywords
prestigious universit,호주에서 명문 대학으로 알려진 곳은 어디인가요?,,"호주에는 호주의 아이비리그라고 알려진 그룹 오브 에이트(Group of Eight, Go8) 대학들이 있습니다. 호주 대학 랭킹에서 늘 1윌부터 8위까지를 차지하는 8개 대학으로 호주 국립대학교(Australian National University, ANU), 뉴 사우스 웨일즈 대학교(University of New South Wales, UNSW), 퀸즐랜드 대학교(University of Queensland, UQ), 모나쉬 대학교(Monash University), 서호주 대학교(University of Western Australia, UWA), 아들레이드 대학교(University of Adelaide), 시드니 대학교(University of Sydney), 멜번 대학교(University of Melbourne)입니다. 이 8개 대학은 모든 교육과정이 전반적으로 수준이 높고 우수하며, 분야별 대학 랭킹에서도 각 분야에서 상위권에 올라있습니다. 그러나 일부 특정한 학과나 분야에서는 이 대학보다 상위에 랭크 되어 있는 다른 유명한 대학들도 있습니다. 예를 들어 호텔관광(Hospitality) 분야에서는 그리피스 대학교(Griffith University), 스포츠 과학(Sport Science) 분야에서는 디킨 대학교(Deakin University)가 호주 내 1위로 가장 유명합니다.",
recommend universit,호주 어떤 대학를 추천하시겠습니까?,,"호주에는 호주의 아이비리그라고 알려진 그룹 오브 에이트(Group of Eight, Go8) 대학들이 있습니다. 호주 대학 랭킹에서 늘 1윌부터 8위까지를 차지하는 8개 대학으로 호주 국립대학교(Australian National University, ANU), 뉴 사우스 웨일즈 대학교(University of New South Wales, UNSW), 퀸즐랜드 대학교(University of Queensland, UQ), 모나쉬 대학교(Monash University), 서호주 대학교(University of Western Australia, UWA), 아들레이드 대학교(University of Adelaide), 시드니 대학교(University of Sydney), 멜번 대학교(University of Melbourne)입니다. 이 8개 대학은 모든 교육과정이 전반적으로 수준이 높고 우수하며, 분야별 대학 랭킹에서도 각 분야에서 상위권에 올라있습니다. 그러나 일부 특정한 학과나 분야에서는 이 대학보다 상위에 랭크 되어 있는 다른 유명한 대학들도 있습니다. 예를 들어 호텔관광(Hospitality) 분야에서는 그리피스 대학교(Griffith University), 스포츠 과학(Sport Science) 분야에서는 디킨 대학교(Deakin University)가 호주 내 1위로 가장 유명합니다.",
bachelor,호주 학사학위에 관한 정보를 알려 주세요,,"호주에는 호주의 아이비리그라고 알려진 그룹 오브 에이트(Group of Eight, Go8) 대학들이 있습니다. 호주 대학 랭킹에서 늘 1윌부터 8위까지를 차지하는 8개 대학으로 호주 국립대학교(Australian National University, ANU), 뉴 사우스 웨일즈 대학교(University of New South Wales, UNSW), 퀸즐랜드 대학교(University of Queensland, UQ), 모나쉬 대학교(Monash University), 서호주 대학교(University of Western Australia, UWA), 아들레이드 대학교(University of Adelaide), 시드니 대학교(University of Sydney), 멜번 대학교(University of Melbourne)입니다. 이 8개 대학은 모든 교육과정이 전반적으로 수준이 높고 우수하며, 분야별 대학 랭킹에서도 각 분야에서 상위권에 올라있습니다. 그러나 일부 특정한 학과나 분야에서는 이 대학보다 상위에 랭크 되어 있는 다른 유명한 대학들도 있습니다. 예를 들어 호텔관광(Hospitality) 분야에서는 그리피스 대학교(Griffith University), 스포츠 과학(Sport Science) 분야에서는 디킨 대학교(Deakin University)가 호주 내 1위로 가장 유명합니다.",
recommendation universit,호주 대학 추천,,"호주에는 호주의 아이비리그라고 알려진 그룹 오브 에이트(Group of Eight, Go8) 대학들이 있습니다. 호주 대학 랭킹에서 늘 1윌부터 8위까지를 차지하는 8개 대학으로 호주 국립대학교(Australian National University, ANU), 뉴 사우스 웨일즈 대학교(University of New South Wales, UNSW), 퀸즐랜드 대학교(University of Queensland, UQ), 모나쉬 대학교(Monash University), 서호주 대학교(University of Western Australia, UWA), 아들레이드 대학교(University of Adelaide), 시드니 대학교(University of Sydney), 멜번 대학교(University of Melbourne)입니다. 이 8개 대학은 모든 교육과정이 전반적으로 수준이 높고 우수하며, 분야별 대학 랭킹에서도 각 분야에서 상위권에 올라있습니다. 그러나 일부 특정한 학과나 분야에서는 이 대학보다 상위에 랭크 되어 있는 다른 유명한 대학들도 있습니다. 예를 들어 호텔관광(Hospitality) 분야에서는 그리피스 대학교(Griffith University), 스포츠 과학(Sport Science) 분야에서는 디킨 대학교(Deakin University)가 호주 내 1위로 가장 유명합니다.",
work after graduat,호주에서 TAFE이나 대학교를 졸업한 후 호주에서 합법적으로 취업 일할 수 있나요?,,"네, 기본적으로 호주에서 2년 이상의 학업을 마치면 일정 기간의 취업비자를 받아서 합법적으로 일을 할 수 있습니다. 학사과정이나 수업위주의 석사과정(Coursework)을 마치면 2년, 연구석사과정(Research)이나 박사과정을 마치면 4년의 취업비자를 받을 수 있습니다. TAFE에서 2년 이상의 과정을 마친 경우에는 본인이 공부한 분야의 기술 평가(skills assessment)를 통과한 경우 1년 6개월의 취업비자를 받을 수 있습니다.",
high school korea australia university,"전 이제 막 한국에서 고등학교를 졸업했는데요, 바로 호주 대학교로 입학할 수있을까요? ",,"한국에서 고등학교만 마친 학생들은 한국 대학교 1학년에 해당하는 학부예비과정(Foundation)을 수강한 후 호주 대학교 1학년으로 진학하거나, 디플로마(Diploma) 과정을 수강한 후 호주 대학교 2학년으로 편입하는 방법 중 한가지를 선택할 수 있습니다. 호주의 교육시스템은 한국과 다릅니다. 한국 대학교에서의 1학년 과정을 호주에서는 11학년과 12학년때 배우며, 호주 대학교 1학년과정은 한국 대학교 2학년 과정과 동일하다고 할 수 있습니다. 호주 대학교의 학사과정들이 대부분 3년 과정인 것은 이러한 이유 때문입니다. 따라서 호주 대학교 1학년에 바로 입학하는 기본 학력 조건은 한국 대학교에서 1학년을 마친 학생입니다. 그러나 한국에서 고등학교만 졸업한 학생이어도 고등학교 성적이 우수한 경우라면 예외적으로 호주 대학으로 바로 입학할 수도 있습니다.",
high school korea,한국 고등학교 졸업 호주 대학교 진학,,"한국에서 고등학교만 마친 학생들은 한국 대학교 1학년에 해당하는 학부예비과정(Foundation)을 수강한 후 호주 대학교 1학년으로 진학하거나, 디플로마(Diploma) 과정을 수강한 후 호주 대학교 2학년으로 편입하는 방법 중 한가지를 선택할 수 있습니다. 호주의 교육시스템은 한국과 다릅니다. 한국 대학교에서의 1학년 과정을 호주에서는 11학년과 12학년때 배우며, 호주 대학교 1학년과정은 한국 대학교 2학년 과정과 동일하다고 할 수 있습니다. 호주 대학교의 학사과정들이 대부분 3년 과정인 것은 이러한 이유 때문입니다. 따라서 호주 대학교 1학년에 바로 입학하는 기본 학력 조건은 한국 대학교에서 1학년을 마친 학생입니다. 그러나 한국에서 고등학교만 졸업한 학생이어도 고등학교 성적이 우수한 경우라면 예외적으로 호주 대학으로 바로 입학할 수도 있습니다.",
universit cost,호주 대학교들의 학비는 어느 정도 인가요?,,"대학교 학비는 대학별 또는 학업 분야별로 큰 차이가 있습니다. 호주 8대 명문이라는 Go8 대학들은 연간 AUD 30,000-40,000 수준이며, 대도시를 벗어난 중소도시에 위치한 대학들은 연간 AUD 20,000-AUD 35,000 수준이라고 볼 수 있습니다. 그러나 같은 대학이라도 학업 분야별로 차이가 있으며, 예를 들어 의과대학은 대부분이 연간 AUD 60,000 정도 입니다.",
fee,호주 대학교 학비,,"대학교 학비는 대학별 또는 학업 분야별로 큰 차이가 있습니다. 호주 8대 명문이라는 Go8 대학들은 연간 AUD 30,000-40,000 수준이며, 대도시를 벗어난 중소도시에 위치한 대학들은 연간 AUD 20,000-AUD 35,000 수준이라고 볼 수 있습니다. 그러나 같은 대학이라도 학업 분야별로 차이가 있으며, 예를 들어 의과대학은 대부분이 연간 AUD 60,000 정도 입니다.",
living cost,호주 에서 1년 생활비는 어느 정도 인가요?,,"일반적으로는 매월 약 AUD 1,200-1,500 정도가 든다고 할 수 있지만, 살고 있는 도시와 생활습관에 따라 천차만별입니다. 특히 호주 내 생활비에서 가장 큰 비중을 차지하는 렌트비는 시드니, 멜번, 브리즈번과 같은 대도시와 소도시의 차이가 매우 큽니다. 예를 들어 원룸을 렌트하는 경우 시드니에서 적어도 주당 AUD 450의 비용이 들지만, 뉴카슬에서는 주당 AUD 270 정도입니다.",
living expense,호주 생활비,,"일반적으로는 매월 약 AUD 1,200-1,500 정도가 든다고 할 수 있지만, 살고 있는 도시와 생활습관에 따라 천차만별입니다. 특히 호주 내 생활비에서 가장 큰 비중을 차지하는 렌트비는 시드니, 멜번, 브리즈번과 같은 대도시와 소도시의 차이가 매우 큽니다. 예를 들어 원룸을 렌트하는 경우 시드니에서 적어도 주당 AUD 450의 비용이 들지만, 뉴카슬에서는 주당 AUD 270 정도입니다.",
without student visa,호주에서 학생비자 없이 공부할 수 있는 최대기간은 얼마인가요?,,"관광비자인 경우 최대 12주까지 공부할 수 있으며, 12주보다 더 길게 공부하고 싶으면 학생비자가 필요합니다.",
age working holiday visa,호주 워킹 홀리데이 비자의 나이제한이 만 30세에서 만 35세로 변경된다는 소식을 들었습니다. 정말인가요?,,"호주 정부에서 워킹 홀리데이 비자의 나이제한을 만 30세에서 만 35세로 확대할 계획이라고 발표했습니다. 그러나 현재 나이조건은 변경되지 않았으며, 여전히 만 30세까지 입니다. 협력국들과의 협의를 통해 점진적으로 이루어질 예정이라고 합니다.",
stay with working holiday visa,워킹 홀리데이 비자로 호주에 얼마 동안 머무를 수 있나요?,,호주 워킹홀리데이 비자 기간은 1년입니다. 단 정해진 조건을 충족하는 경우 1회 연장 하여 1년의 기간을 더 받을 수 있습니다.,
period working holiday visa,워킹 홀리데이 비자 기간 워홀 ,,호주 워킹홀리데이 비자 기간은 1년입니다. 단 정해진 조건을 충족하는 경우 1회 연장 하여 1년의 기간을 더 받을 수 있습니다.,
study working holiday visa,워킹 홀리데이 비자로 호주에서 공부할 수 있는 기간은 얼마인가요?,,최대 17주까지 호주에서 합법적으로 공부할 수 있습니다.,
work while study,호주에서 공부하는 동안 일을 할 수 있나요?,,"학생비자로 호주에서 공부하고 있다면 주당 20시간 동안 일을 할 수 있으며, 방학 기간에는 풀타임으로 일할 수 있습니다. 그러나 관광비자로 12주 미만의 학업을 수행할 때는 일할 수 없습니다.",
study in australia,호주 공부 일,,"학생비자로 호주에서 공부하고 있다면 주당 20시간 동안 일을 할 수 있으며, 방학 기간에는 풀타임으로 일할 수 있습니다. 그러나 관광비자로 12주 미만의 학업을 수행할 때는 일할 수 없습니다.",
receive student visa,학생비자 신청 후 받을 때까지 걸리는 시간은 어느 정도 인가요?,,"일반적으로 신청 후 2주에서 4주 정도 걸립니다. 단, 상황에 따라 약간 더 길어질 수도 있습니다.",
student visa appliation,학생비자 신청 걸리는 시간,,"일반적으로 신청 후 2주에서 4주 정도 걸립니다. 단, 상황에 따라 약간 더 길어질 수도 있습니다.",
time australia korea,호주와 한국의 시차는 얼마인가요?,,"호주는 한국과 달리 땅이 넓어서 호주 내에서도 시차가 있습니다. 대도시를 기준으로 시드니와 멜번, 브리즈번은 한국보다 1시간이 빠르고, 아들레이드는 한국보다 30분이 빠르며, 퍼스는 한국보다 1시간이 느립니다. 즉 대부분이 30분에서 1시간 정도의 차이로 한국과 큰 차이는 없습니다.",
time difference,호주 한국 시차,,"호주는 한국과 달리 땅이 넓어서 호주 내에서도 시차가 있습니다. 대도시를 기준으로 시드니와 멜번, 브리즈번은 한국보다 1시간이 빠르고, 아들레이드는 한국보다 30분이 빠르며, 퍼스는 한국보다 1시간이 느립니다. 즉 대부분이 30분에서 1시간 정도의 차이로 한국과 큰 차이는 없습니다.",
student visa tourist visa,관광비자로 호주에 입국한 후 호주 내에서 학생비자로 바꿀 수 있나요?,,"네, 바꿀 수 있습니다. 만약 처음에는 단기간 공부할 생각으로 혹은 여행만 할 생각으로 관광비자로 입국했지만, 마음이 변해 12주 이상의 학업을 진행하게 된 경우 호주 내에서 관광비자를 학생비자로 바꿀 수 있습니다.",
student visa working holiday visa,워킹 홀리데이 비자로 호주에 입국한 후 호주 내에서 학생비자로 바꿀 수 있나요?,,"네, 바꿀 수 있습니다. 만약 학생비자 신청 후 수령하기 전에 보유하고 있던 워킹 홀리데이 비자가 끝나는 경우에는 학생비자 수령을 기다리는 기간 동안 호주에 합법적으로 머무를 수 있도록 하는 브릿징 비자(Bridging Visa)를 받을 수 있습니다. 그러나 가능하면 충분한 기간을 두고 학생비자를 신청하여 받을 수 있도록 할 것을 권장합니다.",
international student school,"유학생들도 호주 내 공립 초등학교, 중학교 및 고등학교에 입학할 수 있나요?",,"네, 가능합니다. 호주 교육부를 통해서 공립학교에 입학할 수 있습니다. 단, 공립학교는 지역별로 학업수준이 크게 다를 수 있습니다. 따라서 생활비가 좀 더 들더라도 좋은 지역으로 가서 학업수준이 높은 학교에 다닐 수 있도록 할 것을 권장합니다.",
school entrance,호주 공립 초등학교 중학교 고등학교 입학,,"네, 가능합니다. 호주 교육부를 통해서 공립학교에 입학할 수 있습니다. 단, 공립학교는 지역별로 학업수준이 크게 다를 수 있습니다. 따라서 생활비가 좀 더 들더라도 좋은 지역으로 가서 학업수준이 높은 학교에 다닐 수 있도록 할 것을 권장합니다.",
australia high school university country,"호주에서 고등학교를 졸업한 후 미국, 캐나다, 영국과 같은 다른 나라의 대학으로 진학하는 것이 가능한가요?",,"물론입니다. 단, 각 국가에서 요구하는 특정한 입학조건이 있을 경우 미리 준비해야 합니다. 예를 들어 미국과 같은 경우 우수한 대학들은 대부분 SAT 점수를 요구하기 때문에 SAT 시험을 미리 준비해야 하며, 이는 한국에서 해외대학으로 진학할 때도 마찬가지 입니다.",
work part time,호주에서 파트타임으로 일하면 어느 정도를 벌 수 있나요?,,"현재 호주의 최저 임금은 시간당 AUD 18.29 입니다. 만약 주당 20시간의 파트타임으로 일하면 주당 AUD 365.8을 벌 수 있으며, 한화로는 약 33만원 정도입니다. 이는 최저임금으로 계산했을 경우이며, 업무에 따라 혹은 일하는 시간대에 따라 이보다 더 높을 수도 있습니다.",
part time job,호주 파트타임 일 얼마나,,"현재 호주의 최저 임금은 시간당 AUD 18.29 입니다. 만약 주당 20시간의 파트타임으로 일하면 주당 AUD 365.8을 벌 수 있으며, 한화로는 약 33만원 정도입니다. 이는 최저임금으로 계산했을 경우이며, 업무에 따라 혹은 일하는 시간대에 따라 이보다 더 높을 수도 있습니다.",
